Primary_Key,School.Number,School.Year,School.Name,Official.School.Name,LEA.Number,LEA.Name,Name.Prefix.Description,Principal.First.Name,Principal.Middle.Name,Principal.Last.Name,Principal.Name.Suffix,Principal.Email,Address.Line1,Address.Line2,City,State,Zip.Code.5,Zip.Code.4,Address,Phone.Office.Area,Phone.Office.Exch,Phone.Office.Line,Phone.Fax.Area,Phone.Fax.Exch,Phone.Fax.Line,Phone,Mailing.Address.Line1,Mailing.Address.Line2,Mailing.City,Mailing.State,Mailing.Zip.Code.5,Mailing.Zip.Code.4,URL.School.Address,Sch.Operational.Status,Sch.Operational.Status.Desc,Opening.Effective.Date,Closing.Date,School.Type,School.Type.Desc,School.Program.Type,School.Program.Type.Desc,Grade.Level.Current,Grade.Level.Approved,Grade.Level.First.Year,Title.I,School.Calendar.Type,School.Calendar.Description,Extended.Hours,School.Schedule.Type,School.Schedule.Type.Desc,School.Designation.Type,School.Designation.Desc,Virtual.Status,SBE.Region,SBE.Region.Names,Accreditation.Status,Accreditation.Status.Desc,Federal.School.Number,College.Board.Number,School.Membership,School.Year.For.Sch.Membership,School.Teacher.Count,School.Year.For.Teachers,Cooperative.Innovative.HS,Cooperative.MMYYYY.SBE.Approve,First.Yr.Est.ADM,First.Yr.Est.Paid.Teacher.FTE,Newly.Constructed.Facility,Occupancy.Date,What.Facility.Will.Sch.Occupy,Share.Space,Share.Space.Describe,New.Sch.Population.From,List.Of.Closing.Schools,County.Code,County.Description,Opening.In.School.Year,Locale.Type,Locale.Type.Desc,School.Closings.,School.Systartstatus,Record.Created.Timestamp,Record.Created.By,Last.Changed.Timestamp,Last.Changed.By,latitude,longitude
103402025,10340,2025,Elon Elementary,Elon Elementary,10,Alamance-Burlington Schools,-,Cara,-,Hurdle,Cara Hurdle,cara_hurdle@abss.k12.nc.us,720 Walker Road,-,Elon,NC,27244,9304,"720 Walker Road Elon, NC 27244",336,538,6000,336,538,6003,336 538-6000,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/elones,1,Open,30-Jun-90,-,R,Regular School,N,None,KG:01:02:03:04:05,KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:25PM,carla_bopp,36.11819012,-79.49596256
103462025,10346,2025,B. Everett Jordan Elementary,B. Everett Jordan Elementary,10,Alamance-Burlington Schools,-,Robert,-,Dail,Robert Dail,robert_dail@abss.k12.nc.us,5827 Church Road,-,Graham,NC,27253,9145,"5827 Church Road Graham, NC 27253",336,376,3673,336,376,6243,336 376-3673,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/bejes,1,Open,30-Jun-96,-,R,Regular School,N,None,KG:01:02:03:04:05,KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:25PM,carla_bopp,35.94007708,-79.3251774
103472025,10347,2025,Audrey W. Garrett Elementary,Audrey W.Garrett Elementary,10,Alamance-Burlington Schools,-,Steven,-,Fine,Steven Fine,steven_fine@abss.k12.nc.us,3224 Old Hillsborough Road,-,Mebane,NC,27302,-,"3224 Old Hillsborough Road Mebane, NC 27302",919,563,2088,919,304,5384,919 563-2088,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/awges,1,Open,30-Jun-00,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,P3:PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 12:00AM,EDDIE,07-03-2023 03:26PM,carla_bopp,36.05857116,-79.2958451
103482025,10348,2025,Graham High,Graham High,10,Alamance-Burlington Schools,-,Joshua,-,Brown,Joshua Brown,joshua_brown@abss.k12.nc.us,903 Trollinger Road,-,Graham,NC,27253,1945,"903 Trollinger Road Graham, NC 27253",336,570,6440,336,570,6446,336 570-6440,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/ghs,1,Open,30-Jun-90,-,R,Regular School,N,None,09:10:11:12:XG,09:10:11:12:XG,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,341560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:33PM,carla_bopp,36.0761598,-79.38378808
103502025,10350,2025,Graham Middle,Graham Middle,10,Alamance-Burlington Schools,-,Summer,-,Rogers,Summer Rogers,summer_rogers@abss.k12.nc.us,311 E Pine Street,-,Graham,NC,27253,3226,"311 E Pine Street Graham, NC 27253",336,570,6460,336,570,6464,336 570-6460,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/gms,1,Open,30-Jun-90,-,R,Regular School,N,None,6:07:08,6:07:08,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,SA,SACS,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,12-08-2022 10:34AM,carla_bopp,36.06779996,-79.39688091
103542025,10354,2025,Harvey R Newlin Elementary,Harvey R Newlin Elementary,10,Alamance-Burlington Schools,-,William,-,Price,William Price,william_price@abss.k12.nc.us,316 Carden Street,-,Burlington,NC,27215,7305,"316 Carden Street Burlington, NC 27215",336,570,6125,336,570,6207,336 570-6125,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/hrnes,1,Open,30-Jun-96,-,R,Regular School,N,None,PK:KG:01:02:03:04:05,PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:28PM,carla_bopp,36.07245011,-79.42210475
103572025,10357,2025,Haw River Elementary,Haw River Elementary,10,Alamance-Burlington Schools,-,LaTasha,-,Fonville,LaTasha Fonville,latasha_fonville@abss.k12.nc.us,701 E Main Street,-,Haw River,NC,27258,9644,"701 E Main Street Haw River, NC 27258",336,578,177,336,578,8336,336 578-177,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/hres,1,Open,30-Jun-96,-,R,Regular School,N,None,PK:KG:01:02:03:04:05,PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:27PM,carla_bopp,36.09385956,-79.35886505
103582025,10358,2025,Hillcrest Elementary,Hillcrest Elementary,10,Alamance-Burlington Schools,Dr,Jennifer,-,Reed,Jennifer  Reed,jennifer_reed@abss.k12.nc.us,1714 W Davis Street,-,Burlington,NC,27215,3841,"1714 W Davis Street Burlington, NC 27215",336,570,6120,336,570,6206,336 570-6120,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/hillcrestes,1,Open,30-Jun-96,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,P3:PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:28PM,carla_bopp,36.10407322,-79.46264785
103602025,10360,2025,Hugh M Cummings High,Hugh M Cummings High,10,Alamance-Burlington Schools,-,Clifton,-,Thomas,Clifton Thomas,clifton_thomas@abss.k12.nc.us,2200 N Mebane Street,-,Burlington,NC,27217,4332,"2200 N Mebane Street Burlington, NC 27217",336,570,6100,336,570,6107,336 570-6100,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/hchs,1,Open,30-Jun-96,-,R,Regular School,N,None,09:10:11:12:XG,09:10:11:12:XG,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,340508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:32PM,carla_bopp,36.092211,-79.39877327
103622025,10362,2025,Marvin B Smith Elementary,Marvin B Smith Elementary,10,Alamance-Burlington Schools,-,Brian,-,Williams,Brian Williams,brian_williams@abss.k12.nc.us,2235 Delaney Drive,-,Burlington,NC,27215,5120,"2235 Delaney Drive Burlington, NC 27215",336,570,6140,336,570,6209,336 570-6140,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/mbses,1,Open,30-Jun-96,-,R,Regular School,N,None,PK:KG:01:02:03:04:05,PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:29PM,carla_bopp,36.07759785,-79.47683976
103642025,10364,2025,North Graham Elementary,North Graham Elementary,10,Alamance-Burlington Schools,-,Rickeya,-,Jones,Rickeya Jones,rickeya_jones@abss.k12.nc.us,1025 Trollinger Road,-,Graham,NC,27253,1947,"1025 Trollinger Road Graham, NC 27253",336,578,2272,336,578,8335,336 578-2272,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/nges,1,Open,30-Jun-90,-,R,Regular School,N,None,P2:P3:PK:KG:01:02:03:04:05,P2:P3:PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:28PM,carla_bopp,36.07744851,-79.37656782
103722025,10372,2025,Pleasant Grove Elementary,Pleasant Grove Elementary,10,Alamance-Burlington Schools,-,Shanise,-,Goldsby,Shanise Goldsby,shanise_goldsby@abss.k12.nc.us,2847 Pleasant Grv Sch Road,-,Burlington,NC,27217,7750,"2847 Pleasant Grv Sch Road Burlington, NC 27217",336,421,3701,336,421,9844,336 421-3701,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/pges,1,Open,30-Jun-90,-,R,Regular School,N,None,PK:KG:01:02:03:04:05,PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:29PM,carla_bopp,36.21806202,-79.30718084
103742025,10374,2025,R Homer Andrews Elementary,R Homer Andrews Elementary,10,Alamance-Burlington Schools,-,Leslie,-,Ray,Leslie Ray,leslie_ray@abss.k12.nc.us,2630 Buckingham Road,-,Burlington,NC,27217,3252,"2630 Buckingham Road Burlington, NC 27217",336,570,6170,336,570,6201,336 570-6170,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/rhaes,1,Open,30-Jun-96,-,R,Regular School,N,None,PK:KG:01:02:03:04:05,PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:24PM,carla_bopp,36.09308281,-79.38464072
103782025,10378,2025,Ray Street Academy,Ray Street Academy,10,Alamance-Burlington Schools,-,Michael,-,Bayless,Michael Bayless,michael_bayless@abss.k12.nc.us,609 Ray Street,-,Graham,NC,27253,-,"609 Ray Street Graham, NC 27253",336,570,6644,336,570,6353,336 570-6644,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/rsa,1,Open,30-Jun-96,-,A,Alternative Education,N,None,06:07:08:09:10:11:12:XG,KG:01:02:03:04:05:06:07:08:09:10:11:12:XG,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,340517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:34PM,carla_bopp,36.06268925,-79.39493968
103802025,10380,2025,South Graham Elementary,South Graham Elementary,10,Alamance-Burlington Schools,Ms,Elizabeth,-,Stamper,Elizabeth Stamper,elizabeth_stamper@abss.k12.nc.us,320 Ivey Road,-,Graham,NC,27253,3723,"320 Ivey Road Graham, NC 27253",336,570,6520,336,570,6521,336 570-6520,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/sges,1,Open,30-Jun-90,-,R,Regular School,N,None,P2:P3:PK:KG:01:02:03:04:05,P2:P3:PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:29PM,carla_bopp,36.05144019,-79.3948741
103882025,10388,2025,Southern Alamance High,Southern Alamance High,10,Alamance-Burlington Schools,-,Kristy,-,Mills,Kristy Mills,kristy_mills@abss.k12.nc.us,631 Southern High Road,-,Graham,NC,27253,9425,"631 Southern High Road Graham, NC 27253",336,570,6400,336,570,6404,336 570-6400,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/sahs,1,Open,30-Jun-90,-,R,Regular School,N,None,09:10:11:12:XG,09:10:11:12:XG,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,340505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:34PM,carla_bopp,36.00113411,-79.4072517
103902025,10390,2025,Southern Alamance Middle,Southern Alamance Middle,10,Alamance-Burlington Schools,-,Elizabeth,-,Fogleman,Elizabeth Fogleman,elizabethr_fogleman@abss.k12.nc.us,771 Southern High Road,-,Graham,NC,27253,9426,"771 Southern High Road Graham, NC 27253",336,570,6500,336,570,6504,336 570-6500,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/sams,1,Open,30-Jun-90,-,R,Regular School,N,None,6:07:08,6:07:08,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:31PM,carla_bopp,36.00321529,-79.4095196
103922025,10392,2025,Sylvan Elementary,Sylvan Elementary,10,Alamance-Burlington Schools,-,Bethany,-,Hamilton,Bethany Hamilton,bethany_hamilton@abss.k12.nc.us,7718 Sylvan Road,-,Snow Camp,NC,27349,9504,"7718 Sylvan Road Snow Camp, NC 27349",336,376,3350,336,376,3318,336 376-3350,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/ses,1,Open,30-Jun-90,-,R,Regular School,N,None,PK:KG:01:02:03:04:05,PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:30PM,carla_bopp,35.87757973,-79.43956472
103942025,10394,2025,Turrentine Middle,Turrentine Middle,10,Alamance-Burlington Schools,-,Julie,-,Hancock,Julie Hancock,julie_hancock@abss.k12.nc.us,1710 Edgewood Avenue,-,Burlington,NC,27215,4938,"1710 Edgewood Avenue Burlington, NC 27215",336,570,6150,336,570,6210,336 570-6150,-,-,-,-,-,-,http://tum.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,6:07:08,6:07:08,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:32PM,carla_bopp,36.09192915,-79.46270467
