SchoolName,Street,City,State,Zip,Address,PhysicalAddress,PhysicalCity,PhysicalState,PhysicalZip,Phone,Email,Website,Administrator,latitude,longitude
Alexander Youth Network School,1601 Huffine Mill Road,Greensboro,NC,27405,"1601 Huffine Mill Road Greensboro, NC 27405",1601 Huffine Mill Road,Greensboro,NC,27405,(336) 375-5502,aleach@aynkids.org,www.alexanderyouthnetwork.org,Ms. Adrienne  Leach,36.09676421,-79.72735105
Al-Huda Academy,5104 Revere Road,Durham,NC,27713,"5104 Revere Road Durham, NC 27713",5104 Revere Road,Durham,NC,27713,(919) 572-9500,alhudanc@gmail.com,www.alhudaacademy.net,Ms. Zainab  Abdul-Qaabidh,35.89339787,-78.90956616
Al-Huda Academy at N.Raleigh,2220 Jones Franklin Rd,Raleigh,NC,27606,"2220 Jones Franklin Rd Raleigh, NC 27606",5017 Deah Way,Raleigh,NC,27616,(919) 727-9342,hamdy.radwan@alhudaacademy.net,https://www.nr.alhudaacademy.net/,Hamdy A Radwan,35.75064026,-78.73376697
Al-Iman School,3020 Ligon Street,Raleigh,NC,27607,"3020 Ligon Street Raleigh, NC 27607",3020 Ligon Street,Raleigh,NC,27607,(919) 821-1699,principal@alimancrescent.org,www.alimanschool.org,Mrs. Farea  Khan,35.78916416,-78.69093303
All Saints Parochial School,15 McDowell Rd,Mills River,NC,28759,"15 McDowell Rd Mills River, NC 28759",NA,NA,NC,NA,(828) 891-7216,school@allsaintsmillsriver.org,NA,Erich Antony Zwingert,35.41898765,-82.57672828
Amandla Academy,5001 Tower Rd  Unit B,GREENSBORO,NC,27410,"5001 Tower Rd  Unit B GREENSBORO, NC 27410",2757 Granville Street,High Point,NC,27263,(336) 392-8099,kmarcusbrandon@gmail.com,NA,Kenneth  Brandon,36.07671461,-79.87913589
Ambassador Christian School,11901 Sam Furr Road,Huntersville,NC,28078,"11901 Sam Furr Road Huntersville, NC 28078",2520 Ambassador Christi,Huntersville,NC,28078,(704) 850-5466,dr.g@ambassadorchristian.com,www.ambassadorchristian.com,Zach V Gautier,35.44678949,-80.82939862
Ambleside Preparatory Academy,508 Breckenridge Lane,Kinston,NC,28504,"508 Breckenridge Lane Kinston, NC 28504",1003 W. New Bern Road,Hookerton,NC,28538,(252) 559-9284,amblesideprepacademy@gmail.com,NA,Joanna Lindsay Pike,35.18004491,-77.6397413
American Heritage Academy,14111 Capital Blvd.,Wake Forest,NC,27587,"14111 Capital Blvd. Wake Forest, NC 27587",NA,NA,NA,NA,(919) 744-5204,emartinez@charter.one,NA,Erica  Martinez,36.01682816,-78.51552848
American Leadership Academy,900 16th St,Greensboro,NC,27405,"900 16th St Greensboro, NC 27405",NA,NA,NA,NA,(972) 900-0132,syed.kamal@americanleadershipacademy.online,https://americanleadershipacademy.online/north-car,Syed Mohammad Kamal,36.10911225,-79.77834114
Anami Montessori School,2901 Archdale Drive,Charlotte,NC,28210,"2901 Archdale Drive Charlotte, NC 28210",2901 Archdale Drive,Charlotte,NC,28210,(704) 556-0042,office@anamimontessori.org,www.anamimontessori.org,Mrs. Joan  Horlbeck,35.1472059,-80.85422856
Anchor Baptist Academy,3232 Hendersonville Hwy.,Pisgah Forest,NC,28768,"3232 Hendersonville Hwy. Pisgah Forest, NC 28768",3232 Hendersonville Hwy.,Pisgah Forest,NC,28768,(828) 884-7610,supervisor@anchorbaptist.org,NA,Dr. Randy C. Barton,35.29190815,-82.62491441
An-Noor School,808 Atwater Street,raleigh,NC,27607,"808 Atwater Street raleigh, NC 27607",808 Atwater Street,Raleigh,NC,27607,(919) 931-6709,office@annoorquranacademy.org,http://annoorquranacademy.org/,Sarwat  Ahmad,35.78994097,-78.69056291
Annunciation Catholic School,246 E. Main Street,Havelock,NC,28532,"246 E. Main Street Havelock, NC 28532",246 E. Main Street,Havelock,NC,28532,(252) 447-3137,principal@acsnc.net,www.annunciationcatholicnc.org,Dr. Cathy  Tomon,34.8775609,-76.90438312
Antioch Christian Academy,5071 Old Whiteville Road,Lumberton,NC,28358,"5071 Old Whiteville Road Lumberton, NC 28358",5071 old Whiteville Rd,lumberton,NC,28358,(910) 735-1011,jessealey@acanc.org,www.acanc.org,Jes  Sealey,34.57454824,-78.91681074
Apogee Anson,700 Jacks Branch Rd.,Wadesboro,NC,28170,"700 Jacks Branch Rd. Wadesboro, NC 28170",1012 Red Hill - Mt. Vernon Rd.,Wadesboro,NC,28170,(704) 465-1378,info@apogeeanson.com,www.apogeeanson.com,Matthew Shay Carpenter,35.08384482,-80.10785213
APP Young Scholar Academy,2212 Eastchester Drive,High Point,NC,27265,"2212 Eastchester Drive High Point, NC 27265",NA,NA,NC,NA,(336) 313-3088,Keeyama@apurposefulplace.com,NA,Keeyama  Williams-Mumford,36.02167572,-79.97455355
Arborbrook Christian Academy,4823 Waxhaw-Indian Trail Rd.,Matthews,NC,28104,"4823 Waxhaw-Indian Trail Rd. Matthews, NC 28104",4823 Waxhaw-Indian Trail Rd.,Matthews,NC,28104,(704) 821-9952,andy.zawacki@arborbrook.org,www.arborbrook.org,Andrew  Zawacki,35.02039125,-80.69362286
Arise Christian Academy,439 Sandy Run Church Rd,Mooresboro,NC,28114,"439 Sandy Run Church Rd Mooresboro, NC 28114",439 Sandy Run Church Rd,Mooresboro,NC,28114,(828) 214-7858,arisetrailblazers@gmail.com,https://trailblazersarise.com,Kelli Covil Duncan,35.28530494,-81.69443849
Arlington Christian Academy,9801 Arlington Church Road,Mint Hill,NC,28227,"9801 Arlington Church Road Mint Hill, NC 28227",9801 Arlington Church Road,Mint Hill,NC,28227,(704) 545-4589,csustar@arlingtonacademy.org,www.arlingtonacademy.org,Cindy Ann Sustar,35.20548401,-80.61171792
Asheboro Hybrid Academy,4751 Dunbar Bridge Road,Asheboro,NC,27205,"4751 Dunbar Bridge Road Asheboro, NC 27205",4751 Dunbar Bridge Road,Asheboro,NC,27205,(336) 857-2108,admissions@asheborohybridacademy.com,asheborohybridacademy.com,Nena  Conner,35.65308281,-79.97613145
Asheville Academy for Girls,126 Camp Elliot Road,Black Mountain,NC,28711,"126 Camp Elliot Road Black Mountain, NC 28711",126 Camp Elliot Road,Black Mountain,NC,28711,(828) 419-8100,cat@ashevilleacademy.com,www.ashevilleacademy.com,Catherine  Jennings,35.52920997,-82.20579986
Asheville Catholic School,12 Culvern Street,Asheville,NC,28804,"12 Culvern Street Asheville, NC 28804",12 Culvern Street,Asheville,NC,28804,(828) 252-7896,mstuart@ashevillecatholic.org,www.ashevillecatholic.org,Fr. Pat  Cahill,35.6313802,-82.5514668
Asheville Montessori School,360 Weaverville Rd.,Asheville,NC,28804,"360 Weaverville Rd. Asheville, NC 28804",360 Weaverville Rd.,Asheville,NC,28804,(828) 645-3433,ashevillemontessori@gmail.com,www.ashevillemontessorischool@gmail.com,Phil F Gregory,35.66226024,-82.58229169
Asheville School,360 Asheville School Road,Asheville,NC,28806,"360 Asheville School Road Asheville, NC 28806",360 Asheville School Road,Asheville,NC,28806,(828) 254-6345,sgroa@ashevilleschool.org,www.ashevilleschool.org,Dr. Anthony  Sgro,35.56302027,-82.62086076
Asheville Waldorf School,376 Hendersonville Rd.,Asheville,NC,28803,"376 Hendersonville Rd. Asheville, NC 28803",376 Hendersonville Rd.,Asheville,NC,28803,(828) 575-2557,info@ashevillewaldorf.org,www.ashevillewaldorf.org,Becky  Crosswhite,35.55687541,-82.53799579
Asheville-Pisgah Christian Sch.,90 Academy Drive,Candler,NC,28715,"90 Academy Drive Candler, NC 28715",90 Academy Drive,Candler,NC,28715,(828) 667-3255,apcs.principal@ashevillepisgah.org,www.ashevillepisgah.org,Erin  Miller,35.56962198,-82.66974588
Assembly of Faith Chr. Sch.,1030 Lower Dallas Hwy,Dallas,NC,28034,"1030 Lower Dallas Hwy Dallas, NC 28034",1030 Lower Dallas Hwy,Dallas,NC,28034,(704) 922-1149,assemblyoffaithchildcare@gmail.com,NA,Mrs. Melissa  Ray-Elders,35.30116126,-81.15919839
Bailey's Grove Baptist School,624 Pleasant Cross Rd.,Asheboro,NC,27203,"624 Pleasant Cross Rd. Asheboro, NC 27203",624 Pleasant Cross Rd.,Asheboro,NC,27203,(336) 626-5050,school.bgbc@gmail.com,NA,Mr. Sean  Cook,35.73569162,-79.71961372
Bal Perazim Christian Academy,4921 Bragg Boulevard,Fayetteville,NC,28303,"4921 Bragg Boulevard Fayetteville, NC 28303",4921 Bragg Boulevard,Fayetteville,NC,28303,(910) 487-4220,Academy@BPAcademy.org,"www.balperazim.org  link"" B P Academy""",Dr. Morris K. Braxton,35.09272061,-78.95495799
Beacon Academy,4405 Liguria Ct,Summerfield,NC,27358,"4405 Liguria Ct Summerfield, NC 27358",8430 Southard Rd,Stokesdale,NC,27357,(703) 599-4931,learn@beaconacademync.org,www.beaconacademync.org,Meredith Chrysten Carlton,36.18352931,-79.88224865
Beacon Christian Academy,100 Beacon Drive,Kitty Hawk,NC,27949,"100 Beacon Drive Kitty Hawk, NC 27949",100 Beacon Drive,Kitty Hawk,NC,27949,(252) 715-3235,info@beaconobx.com,Beaconobx.com,Christopher  Wilson,36.06262392,-75.69380591
Bear Town Academy   LLC,801 S Glenburnie Rd,New Bern,NC,28561,"801 S Glenburnie Rd New Bern, NC 28561",801 S Glenburnie Rd,New Bern,NC,28562,(252) 671-5459,beartownacademy@gmail.com,NA,Sonya  Simmons,35.13018812,-77.08055964
Beaufort County Micro School,601 East 11th Street,Washington,NC,27889,"601 East 11th Street Washington, NC 27889",NA,NA,NA,NA,(252) 295-7551,k12@beaufortmicroschool.org,NA,Kimberly  Waltower,35.54837566,-77.04097554
Berean Baptist Academy,518 Glensford Drive,Fayetteville,NC,28314,"518 Glensford Drive Fayetteville, NC 28314",518 Glensford Drive,Fayetteville,NC,28314,(910) 868-2511,records.bbc@gmail.com,www.bbafnc.org,Mr. Jack  Farmer,35.05752966,-78.96306986
Berean Christian School,4135 Thomasville Road,Winston-Salem,NC,27107,"4135 Thomasville Road Winston-Salem, NC 27107",4135 Thomasville Road,Winston-Salem,NC,27107,(336) 785-0527,bereanchristianschoolwsnc@gmail.com,bereanchristianschool.com,Dr. Ron  Baity,36.04050656,-80.18250463
Berean Junior Academy,3748 Beatties Ford Road,Charlotte,NC,28216,"3748 Beatties Ford Road Charlotte, NC 28216",3748 N. Beatties Ford Road,Charlotte,NC,28216,(704) 391-7666,vcrawford@sacsda.org,www.bereanjunioracademy.org,Dr. Sharon  Johnson,35.28562476,-80.85830486
Bethany Christian School,135 Bert Lane Road,Brevard,NC,28712,"135 Bert Lane Road Brevard, NC 28712",135 Bert Lane Rd,Brevard,NC,28712,(828) 884-9815,lynn.taylor@bcsbrevard.org,www.bethanybaptistministries.org,Mr. Lynn  Taylor,35.21580443,-82.71467707
Bethany Christian School,584 Tower Rd.,Thomasville,NC,27360,"584 Tower Rd. Thomasville, NC 27360",584 Tower Rd.,Thomasville,NC,27360,(336) 410-1908,volunteerfields@gmail.com,www.bethanychristianschoolnc.com,Crystal  Fields,35.85771285,-80.05961445
Bethel Assembly Christian Acad.,105 Askewville Bryant St.,Windsor,NC,27983,"105 Askewville Bryant St. Windsor, NC 27983",105 Askewville Bryant Street,Windsor,NC,27983,(252) 794-4034,askewvilleag@embarqmail.com,http://askewvilleassembly.com,Ms. Amanda  Hoggard,36.11174888,-76.94417672
Bethel Christian Academy,100 Park Street,Canton  NC,NC,28716,"100 Park Street Canton  NC, NC 28716",100 Park Street,Canton,NC,28716,(828) 648-4492,bethelchristianacademy3@gmail.com,www.bcacanton.org,Mrs. Clara  Deaver,35.53119902,-82.84675652
Bethel Christian Academy,1936 Banks School Road,Kinston,NC,28504,"1936 Banks School Road Kinston, NC 28504",1936 Banks School Road,Kinston,NC,28504,(260) 568-3009,dphillips@bethelfwb.com,www.bcatrojans.com,Mr. Doug  Phillips,35.28179183,-77.64631536
Bethel Christian Academy,12021  S. US 19 E.,Spruce Pine,NC,28777,"12021  S. US 19 E. Spruce Pine, NC 28777",12021 US Highway 19E,Spruce Pine,NC,28777,(828) 765-0510,pastordarrin@bellsouth.net,www.bethelchristianacademy.org,Dr. Darrin  Waldroup,35.93675664,-82.00975335
Bethesda Christian Academy,1914 S. Miami Boulevard,Durham,NC,27703,"1914 S. Miami Boulevard Durham, NC 27703",1914 S. Miami Boulevard,Durham,NC,27703,(919) 598-0190,brenda.brown@bcacrusaders.org,www.BCAcrusaders.org,Dr. S. L. Sherrill,35.94378553,-78.83829463
Bible Wesleyan Chr. Sch.,106 Moore's Chapel Cemetery Rd.,Graham,NC,27253,"106 Moore's Chapel Cemetery Rd. Graham, NC 27253",106 Moore's Chapel Cemetery Rd.,Graham,NC,27253,(336) 376-3913,bwcs@emypeople.net,NA,Rev. Brian  Covert,35.95015599,-79.3724788
Birds Nest Montessori School,6867 Raeford Road,fayetteville,NC,28304,"6867 Raeford Road fayetteville, NC 28304",6867 Raeford Road,Fayetteville,NC,28304,(910) 867-4073,birdsnestmontessorischool@yahoo.com,www.Birdsnestmontessorischool@yahoo.com,Marlene  Vargas,35.03713899,-79.00919858
Bishop McGuinness Catholic H. S.,1725 NC Highway 66 South,Kernersville,NC,27284,"1725 NC Highway 66 South Kernersville, NC 27284",1725 NC Highway 66 South,Kernersville,NC,27284,(336) 564-1010,jrashford@bmhs.us,www.bmhs.us,Jared  Rashford,36.0779748,-80.06251872
Black Mountain Academy,501 W. State Street,Black Mountain,NC,28711,"501 W. State Street Black Mountain, NC 28711",501 W. State Street,Black Mountain,NC,28711,(828) 242-6936,bmoffitt@theblackmountainacademy.com,https://theblackmountainacademy.com,Brandon  Moffitt,35.61433709,-82.32542535
Black Mountain Montesorri,101 Carver Avenue,Black Mountain,NC,28711,"101 Carver Avenue Black Mountain, NC 28711",101 Carver Ave.,Black Mountain,NC,28711,(828) 669-8571,office@bmtmont.org,www.bmtmont.org,Erin  Van Note,35.61513839,-82.34066031
Blessed Sacrament Catholic Sch.,515 Hillcrest Avenue,Burlington,NC,27215,"515 Hillcrest Avenue Burlington, NC 27215",515 Hillcrest Avenue,Burlington,NC,27215-3841,(336) 570-0019,office@bssknights.org,www.bssknights.org,Mrs. Maria  Iniquen-Gomez,36.09395379,-79.44592748
Blue Ridge Adventist Christian School,119 Hampshire Drive,Waynesville,NC,28786,"119 Hampshire Drive Waynesville, NC 28786",119 Hampshire Drive,Waynesville,NC,28786,(828) 400-8681,bracschool@gmail.com,www.bracs.org,Ms. Beth  Hoosier,35.52344835,-82.99095909
B'nai Shalom Day School,804-A Winview Drive,Greensboro,NC,27410,"804-A Winview Drive Greensboro, NC 27410",804-A Winview Drive,804-A Winview Drive,NC,27410,(336) 855-5091,ssiegel@bnai-shalom.org,www.bnai-shalom.org,Susan  Siegel,36.09503194,-79.8571781
Bonner Academy,6216 Hunter Street,Raleigh,NC,27612,"6216 Hunter Street Raleigh, NC 27612",6216 Hunter Street,Raleigh,NC,27612,(919) 291-8446,bonneracademy@yahoo.com,www.bonneracademy.com,Mrs. Linda  Bonner,35.87039711,-78.68171091
Born Again Christian Academy,1204 Highway 210,Sneads Ferry,NC,28460,"1204 Highway 210 Sneads Ferry, NC 28460",1204 Highway 210,Sneads Ferry,NC,28445,(910) 333-5213,bornagainchristianacademy@gmail.com,NA,Rev. Jeffrey  Summers,34.53049416,-77.43453711
Bridge of Hope Christian School,100 Anthony Grove Rd,Crouse,NC,28033,"100 Anthony Grove Rd Crouse, NC 28033",100 Anthony Grove Rd,Crouse,NC,28033,(704) 435-6001,pastor@anthonygrove.com,www.bridgeofhopeschool.org,Dennis Edward Bean,35.3995526,-81.3321137
BridgeWay Prep Christian,242 Caratoke Hwy,Moyock,NC,27958,"242 Caratoke Hwy Moyock, NC 27958",NA,NA,NA,NA,(252) 270-5278,info.bwprep@gmail.com,www.bwpcskids.org,Lynnetta  Seabury,36.55025039,-76.19270192
Bright Kids STEAM Academy,13925 Erwin RD,Charlotte,NC,28273,"13925 Erwin RD Charlotte, NC 28273",NA,NA,NA,NA,(980) 299-0600,walterbowersjr@gmail.com,NA,Walter  Bower,35.11646435,-80.97703513
Bright Spot Baptist Academy,200 Tomberlin Street,Monroe,NC,28112,"200 Tomberlin Street Monroe, NC 28112",NA,NA,NC,NA,(704) 635-8111,brightspotbaptistacademymonroenc@yahoo.com,NA,Dennis Howard Baker,34.97970059,-80.51987028
Brighter Days Academy Goldsboro,481 Lee Lane Rd,Roanoke Rapids,NC,27870,"481 Lee Lane Rd Roanoke Rapids, NC 27870",503 N. William St,Goldsboro,NC,27530,(919) 330-4715,BDAcademy2023@gmail.com,NA,Aronia  Lane,36.46067808,-77.64070569
Brighter Days Academy Inc.,481 Lee Lane Rd.,Roanoke Rapids,NC,27870,"481 Lee Lane Rd. Roanoke Rapids, NC 27870",91 Food Lion Rd,Scotland Neck,NC,27874,(252) 678-4648,brighterdaysacademy1@gmail.com,NA,Aaron J Leach,36.46067808,-77.64070569
British International Sch. of Charlotte,7000 Endhaven Lane,Charlotte,NC,28277,"7000 Endhaven Lane Charlotte, NC 28277",7000 Endhaven Lane,Charlotte,NC,28277,(704) 341-3236,administration@bischarlotte.org,www.bischarlotte.org,Mr. Adam  Stevens,35.06786469,-80.83667063
Brittain Academy,155 Northpoint Avenue  Suite 206,High Point,NC,27262,"155 Northpoint Avenue  Suite 206 High Point, NC 27262",155 Northpoint Avenue  Suite 206,High Point,NC,27262,(336) 899-7114,info@brittainacademy.net,www.brittainacademy.net,Dr. Linde  Brittain,35.98797875,-80.02296713
Brookhaven SDA School,4658 Reedy Branch Road,Winterville,NC,28590,"4658 Reedy Branch Road Winterville, NC 28590",4658 Reedy Branch Road,Winterville,NC,28590,(252) 756-5777,mmeadows@carolinasda.org,www.brookhavenschool.us,Mindy  Meadows,35.53862046,-77.41462023
Brookside Christian Academy,2004 US 301 N.,Dunn,NC,28334,"2004 US 301 N. Dunn, NC 28334",2004 US 301 N.  804 W. Broad St. & 780 Hodges Chapel Rd.  Benson,Dunn,NC,28334,(919) 812-4202,bdean@brooksideca.org,www.brooksideca.org,Elizabeth C. Dean,35.28175984,-78.62679141
Bryan School,324 S. Elm Street Suite 300,Greensboro,NC,27408,"324 S. Elm Street Suite 300 Greensboro, NC 27408",204 N. Mendenhall Street,Greensboro,NC,27405,(336) 554-5251,rosumahb@gmail.com,NA,Ms. Rose  Boyce,36.06935783,-79.79059816
Buffalo Academy,803 16th Street,Greensboro,NC,27405,"803 16th Street Greensboro, NC 27405",803 16th Street,Greensboro,NC,27405,(336) 375-3380,hallfrank@aol.com,WWW.BuffaloAcademy.net,Frank  Hall,36.10888367,-79.78058898
Burbrella Microschool,309 HUFFMAN MILL RD Suite140 & Suite 130,BURLINGTON,NC,27215,"309 HUFFMAN MILL RD Suite140 & Suite 130 BURLINGTON, NC 27215",309 Huffman Mill Road  Suite 140 & Suite 130,Burlington,NC,27215,(336) 567-4015,dburgess@burbrellaeducation.com,www.burbrella.org,Dominique  Burgess,36.07633709,-79.48810025
Burlington Christian Academy,621 E. Sixth Street,Burlington,NC,27215,"621 E. Sixth Street Burlington, NC 27215",621 East Sixth Street,Burlington,NC,27215,(336) 227-0288,mmartin@bcaroyals.com,www.bcaroyals.com,Dr. Mary  Martin,36.08340192,-79.43996341
C3 Concord Christian School,265 Manor Avenue,Concord,NC,28025,"265 Manor Avenue Concord, NC 28025",265 Manor Avenue SW,Concord,NC,28025,(704) 788-4726,churchinfo@concordchristiancenter.com,www.concordchristiancenter.com,Dr. Cecil A. Brown,35.38347049,-80.56898072
Calvary Baptist Church School,1821 Rhem Avenue,New Bern,NC,28563,"1821 Rhem Avenue New Bern, NC 28563",1821 Rhem Avenue,New Bern,NC,28560,(252) 633-5410,s.willis@calbaptchurchschool.org,www.calbapt.org,Mr. Dwight  Williams,35.10528793,-77.06642549
Calvary Baptist Mission Academy,100 Cemetery Road,Pisgah Forest,NC,28768,"100 Cemetery Road Pisgah Forest, NC 28768",100 Cemetery Road,NA,NA,NA,(828) 884-3818,calvarybaptistmissionacademy@gmail.com,NA,Ms. Heather  Greene,35.26132222,-82.69622619
Calvary Chapel Academy,112 Moose Club Road,Statesville,NC,28677,"112 Moose Club Road Statesville, NC 28677",112 Moose Club Road,Statesville,NC,28677,(704) 380-4376,lobby@cclkn.org,Calvarychapelacademy.com,Pastor Mike  Burner,35.72767988,-80.89614931
Calvary Christian Academy,5801 Pineville-Matthews Road,Charlotte,NC,28226,"5801 Pineville-Matthews Road Charlotte, NC 28226",5801 Pineville-Matthews Rd,Charlotte,NC,28226,(704) 945-3121,ssauerwein@calvarychristianacademy.com,https://www.calvarychristianacademy.com/,Skye Seago Sauerwein,35.08687917,-80.8143383
Calvary Christian Academy,1412 Holbert Street,Greenville,NC,27834,"1412 Holbert Street Greenville, NC 27834",1412 Holbert St.,Greenville,NC,27834,(252) 752-4785,calvarycca@cleaninter.net,www.calvarychristianacademygreenville.com,Mr. Ronnie M. Rogerson,35.63524176,-77.37576484
Calvary Christian School,400 S. Bennett Street,Southern Pines,NC,28387,"400 S. Bennett Street Southern Pines, NC 28387",400 S. Bennett Street,Southern Pines,NC,28387,(910) 692-8311,lauraingram@calvary-christian.org,www.calvary-christian.org,Mr. Charles  Garrison,35.17310182,-79.39633512
Calvary Christian School,394 Ferrells Bridge Road,Louisburg,NC,27549,"394 Ferrells Bridge Road Louisburg, NC 27549",394 Ferrells Bridge Road,Louisburg,NC,27549,(919) 496-1177,calvarychristian@embarqmail.com,www.calvarybaptistoflouisburg.com,Mr. Mark  Tondee,35.98898174,-78.25225189
